ID,AREA,DISTRICT,GEOID,TOTAL,HISPANIC,BLACK,ASIAN,WHITE,OTHER,WINNER,REPRESENT,RRACE,WMARGIN,HISPANIC_PER,BLACK_PER,ASIAN_PER,WHITE_PER,OTHER_PER,HISPANIC_EFF,BLACK_EFF,ASIAN_EFF,WHITE_EFF,OTHER_EFF,HISPANIC_DIST,BLACK_DIST,ASIAN_DIST,WHITE_DIST,OTHER_DIST,HISPANIC_MAJ,BLACK_MAJ,ASIAN_MAJ,WHITE_MAJ,OTHER_MAJ
1,10127.426758,2,5001900US1302,754622,45642,375203,10930,299043,23798,D,Sanford Bishop (D),Black,12.6%,0.0604832618184999,0.497206548444122,0.0144840728205645,0.396281847070454,0.0315363188457267,9.4257915378004E-05,0.999623885569581,6.2221340435377E-07,6.11052701208355E-08,1.70260932274079E-08,0,1,0,0,0,0,0,0,0,0
2,4251.204102,3,5001900US1303,785404,53629,184813,16278,503918,26767,R,Brian Jack (R),White,32.6%,0.0682820561137962,0.23530947130394,0.0207256392888246,0.64160355689556,0.0340805496279622,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
3,8162.467285,1,5001900US1301,787121,65119,222930,15780,451858,31439,R,Buddy Carter (R),White,24.0%,0.0827306093980468,0.283222020502566,0.0200477436124814,0.574064216302195,0.0399417624482132,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
4,11088.923828,8,5001900US1308,774684,61585,232956,11882,445588,22662,R,Austin Scott (R),White,37.8%,0.0794969303612828,0.300710999581765,0.0153378667947189,0.575186785837838,0.0292532180863423,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
5,9829.969727,12,5001900US1312,774599,46997,283319,14045,402752,27477,R,Rick Allen (R),White,20.6%,0.060672683543356,0.365762155644404,0.0181319624734863,0.519949031692527,0.0354725477311486,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
6,2961.525635,14,5001900US1314,782758,99823,96554,13047,547464,25871,R,Marjorie Taylor Greene (R),White,28.8%,0.127527281739695,0.123351022921516,0.0166679867851878,0.699403902611024,0.0330510834766301,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
7,523.350342,6,5001900US1306,778880,99945,400081,26825,227916,24110,D,Lucy McBath (D),Black,49.4%,0.128318868118324,0.513661924815119,0.0344404786359901,0.292620172555464,0.0309547041906327,9.4257915378004E-05,0.999623885569581,6.2221340435377E-07,6.11052701208355E-08,1.70260932274079E-08,0,1,0,0,0,0,1,0,0,0
8,1503.135254,11,5001900US1311,784115,96945,94638,32540,533678,26312,R,Barry Loudermilk (R),White,33.7%,0.12363620132251,0.120694030850067,0.0414990148128782,0.680611900040173,0.0335563023281024,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
9,226.288971,5,5001900US1305,764562,82565,371625,43352,239110,27901,D,Nikema Williams (D),Black,71.4%,0.107989934106063,0.486062608395395,0.0567017455745904,0.312741151142746,0.0364927893355935,9.4257915378004E-05,0.999623885569581,6.2221340435377E-07,6.11052701208355E-08,1.70260932274079E-08,0,1,0,0,0,0,0,0,0,0
10,273.653931,4,5001900US1304,765447,141397,374448,70213,156110,23283,D,Hank Johnson (D),Black,51.2%,0.184724742536061,0.489188670149599,0.0917281013577687,0.203946190918509,0.0304175207427817,9.4257915378004E-05,0.999623885569581,6.2221340435377E-07,6.11052701208355E-08,1.70260932274079E-08,0,1,0,0,0,0,0,0,0,0
11,543.590088,13,5001900US1313,794708,118497,400990,56277,188702,30246,D,David Scott (D),Black,43.6%,0.149107596752518,0.504575265380492,0.070814689168852,0.237448219975136,0.0380592620182507,9.4257915378004E-05,0.999623885569581,6.2221340435377E-07,6.11052701208355E-08,1.70260932274079E-08,0,1,0,0,0,0,1,0,0,0
12,1159.227905,7,5001900US1307,790972,85448,65576,110222,503437,26298,R,Rich McCormick (R),White,29.8%,0.108029108489302,0.0829055895783922,0.139350065489044,0.636478914550705,0.0332477002978614,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
13,3463.198486,9,5001900US1309,800733,139481,97838,54916,484799,23698,R,Andrew Clyde (R),White,38.00%,0.174191646903525,0.12218554749211,0.0685821615944391,0.605444011924075,0.0295953832301154,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
14,5343.09668,10,5001900US1310,801804,67536,202936,20537,482797,28006,R,Mike Collins (R),White,26.2%,0.084230061211967,0.253099261166071,0.025613491576495,0.602138427845209,0.0349287357009943,2.18104820661674E-08,1.54621199580421E-08,6.58983282381617E-08,0.247573574173532,0.00526683800118372,0,0,0,0,0,0,0,0,1,0
